,Date,HomeTeam,AwayTeam,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,VCH,VCD,VCA,WHH,WHD,WHA,HTR,FTR
14,11/09/05,Getafe,Ath Bilbao,2.3,3.2,2.7,2.4,3.15,2.7,2.3,3.0,2.7,2.3,3.1,2.75,2.25,3.1,2.8,D,D
15,11/09/05,Malaga,Espanol,2.1,3.25,3.0,2.2,3.05,3.15,2.2,3.0,2.9,2.2,3.1,2.9,2.0,3.2,3.2,D,A
16,11/09/05,Santander,Cadiz,1.9,3.25,3.5,1.9,3.1,3.95,1.9,3.1,3.5,1.84,3.2,3.75,1.83,3.2,3.75,D,A
17,11/09/05,Sociedad,Alaves,1.9,3.25,3.5,1.8,3.25,4.2,1.8,3.1,3.8,1.84,3.25,3.75,1.9,3.1,3.6,H,H
18,11/09/05,Villarreal,Sevilla,1.8,3.25,4.0,1.85,3.2,4.0,1.8,3.1,3.8,1.84,3.25,3.75,1.9,3.2,3.5,A,D
19,11/09/05,Zaragoza,Valencia,2.5,3.2,2.5,2.5,3.15,2.6,2.5,3.0,2.5,2.6,3.0,2.5,2.4,3.1,2.6,H,D
20,17/09/05,Mallorca,Sociedad,2.3,3.2,3.0,2.3,3.1,2.9,2.2,3.0,2.9,2.25,3.2,2.8,2.15,3.1,3.0,A,H
21,17/09/05,Valencia,La Coruna,2.0,3.2,3.75,1.8,3.25,4.15,1.9,3.1,3.5,1.8,3.25,4.0,1.83,3.2,3.75,A,D
22,18/09/05,Alaves,Getafe,2.2,3.25,3.2,2.1,3.1,3.3,2.1,3.0,3.1,2.1,3.2,3.0,2.0,3.1,3.3,A,A
23,18/09/05,Ath Bilbao,Malaga,1.72,3.3,5.0,1.7,3.35,4.65,1.75,3.2,4.0,1.73,3.4,4.0,1.66,3.3,4.5,D,A
24,18/09/05,Ath Madrid,Barcelona,3.75,3.2,2.0,3.65,3.15,1.95,3.2,3.1,2.0,3.6,3.4,1.84,3.1,3.1,2.1,D,H
25,18/09/05,Betis,Zaragoza,1.8,3.3,4.5,1.7,3.25,4.85,1.75,3.2,4.0,1.75,3.2,4.5,1.72,3.2,4.33,D,D
26,18/09/05,Cadiz,Villarreal,3.0,3.2,2.3,3.5,3.15,2.0,2.6,3.0,2.4,2.8,3.2,2.2,2.75,3.1,2.3,D,D
27,18/09/05,Celta,Santander,1.8,3.4,4.5,1.8,3.25,4.15,1.85,3.1,3.6,1.7,3.25,4.5,1.72,3.2,4.33,D,A
28,18/09/05,Espanol,Real Madrid,4.0,3.3,1.9,4.15,3.2,1.8,3.5,3.1,1.9,3.6,3.4,1.84,3.75,3.3,1.8,D,H
29,18/09/05,Osasuna,Sevilla,2.5,3.2,2.75,2.7,3.0,2.5,2.4,3.0,2.6,2.4,3.25,2.5,2.37,3.1,2.62,D,H
30,21/09/05,Barcelona,Valencia,1.57,3.6,6.0,1.5,3.6,6.25,1.55,3.5,4.8,1.5,3.5,6.0,1.61,3.3,5.0,H,D
31,21/09/05,Getafe,Mallorca,1.9,3.25,4.0,1.8,3.4,3.95,1.9,3.1,3.5,1.85,3.25,3.75,1.9,3.25,3.4,H,D
32,21/09/05,La Coruna,Betis,2.0,3.3,3.5,2.0,3.15,3.5,2.0,3.1,3.2,2.0,3.1,3.4,1.95,3.1,3.5,D,D
33,21/09/05,Malaga,Alaves,1.83,3.3,4.33,2.0,3.15,3.5,1.9,3.1,3.5,1.85,3.25,3.75,1.72,3.3,4.2,D,D
34,21/09/05,Santander,Espanol,2.3,3.25,2.87,2.4,3.05,2.8,2.4,3.0,2.6,2.4,3.1,2.6,2.3,3.2,2.62,D,H
35,21/09/05,Sevilla,Cadiz,1.57,3.6,6.0,1.55,3.5,5.75,1.6,3.4,4.6,1.55,3.3,5.5,1.5,3.4,6.0,D,D
36,21/09/05,Sociedad,Ath Madrid,2.37,3.2,2.8,2.7,3.0,2.5,2.5,3.0,2.5,2.4,3.2,2.65,2.25,3.2,2.75,A,H
37,21/09/05,Villarreal,Celta,1.66,3.6,5.0,1.7,3.3,4.75,1.75,3.2,4.0,1.65,3.25,5.0,1.66,3.3,4.5,A,A
38,21/09/05,Zaragoza,Osasuna,1.8,3.25,4.33,1.8,3.2,4.25,1.9,3.1,3.5,1.85,3.2,3.75,1.72,3.25,4.2,D,H
39,22/09/05,Real Madrid,Ath Bilbao,1.44,4.0,7.5,1.4,4.0,7.5,1.5,3.7,5.0,1.4,3.75,7.0,1.4,3.75,7.0,A,H
40,24/09/05,Ath Madrid,Getafe,1.66,3.4,5.5,1.65,3.35,5.0,1.75,3.2,4.0,1.7,3.25,4.5,1.61,3.3,5.0,D,A
41,24/09/05,Betis,Barcelona,3.4,3.25,2.1,3.65,3.15,1.95,3.1,3.0,2.1,3.25,3.2,2.0,3.0,3.2,2.1,D,A
42,24/09/05,Espanol,Villarreal,2.3,3.2,3.0,2.4,3.0,2.85,2.3,3.0,2.7,2.1,3.2,3.0,2.25,3.2,2.75,A,A
43,24/09/05,Valencia,Sociedad,1.5,3.75,7.0,1.55,3.5,5.85,1.55,3.5,4.8,1.5,3.5,6.5,1.44,3.5,7.0,H,H
44,24/09/05,Zaragoza,La Coruna,2.4,3.25,2.8,2.35,3.05,2.9,2.4,3.0,2.6,2.4,3.2,2.6,2.3,3.2,2.62,D,D
45,25/09/05,Alaves,Real Madrid,6.0,3.4,1.61,6.0,3.45,1.55,4.4,3.3,1.65,4.5,3.4,1.65,5.0,3.3,1.61,D,A
46,25/09/05,Ath Bilbao,Santander,1.72,3.3,5.0,1.65,3.35,5.0,1.75,3.2,4.0,1.75,3.4,4.0,1.7,3.3,4.33,D,D
47,25/09/05,Celta,Sevilla,2.2,3.2,3.25,2.4,3.0,2.85,2.2,3.0,2.9,2.1,3.2,3.0,2.25,3.1,2.8,H,H
48,25/09/05,Mallorca,Malaga,2.1,3.25,3.4,2.2,3.2,3.0,2.0,3.1,3.2,2.1,3.2,3.0,2.0,3.2,3.2,A,A
49,25/09/05,Osasuna,Cadiz,1.9,3.25,4.0,1.8,3.25,4.15,1.8,3.1,3.8,1.85,3.2,3.75,1.8,3.25,3.8,H,H
50,01/10/05,Barcelona,Zaragoza,1.33,4.5,9.5,1.25,5.0,9.75,1.3,4.2,8.0,1.3,4.35,8.5,1.33,4.0,8.0,D,D
51,01/10/05,Getafe,Valencia,2.6,3.2,2.62,2.6,3.0,2.6,2.7,3.0,2.5,2.6,3.2,2.4,2.62,3.1,2.37,D,H
52,02/10/05,Cadiz,Celta,2.5,3.2,2.75,2.5,3.15,2.6,2.5,3.0,2.5,2.5,3.1,2.5,2.4,3.1,2.6,D,D
53,02/10/05,La Coruna,Osasuna,1.66,3.4,5.5,1.6,3.6,5.0,1.6,3.4,4.6,1.55,3.5,5.0,1.66,3.3,4.5,A,A
54,02/10/05,Malaga,Ath Madrid,2.4,3.25,2.8,2.5,3.0,2.7,2.5,3.0,2.7,2.1,3.2,3.0,2.25,3.2,2.75,A,A
55,02/10/05,Real Madrid,Mallorca,1.25,5.0,13.0,1.2,5.5,11.5,1.25,4.5,9.0,1.22,5.0,10.0,1.2,5.0,11.0,H,H
56,02/10/05,Santander,Alaves,1.9,3.25,4.0,1.95,3.15,3.65,1.85,3.1,3.6,1.84,3.25,3.75,1.83,3.2,3.75,A,A
57,02/10/05,Sevilla,Espanol,1.9,3.25,4.0,1.9,3.2,3.8,1.9,3.1,3.5,1.8,3.25,4.0,1.8,3.3,3.75,A,D
58,02/10/05,Sociedad,Betis,2.5,3.2,2.75,2.45,3.0,2.8,2.3,3.0,2.7,2.2,3.2,2.8,2.05,3.2,3.1,A,D
59,02/10/05,Villarreal,Ath Bilbao,1.83,3.3,4.33,1.8,3.3,4.1,1.75,3.2,4.3,1.8,3.2,4.0,1.8,3.1,4.0,D,H
60,15/10/05,Alaves,Villarreal,2.62,3.2,2.37,2.85,3.0,2.4,2.8,3.0,2.4,2.6,3.1,2.35,2.62,3.1,2.37,D,D
61,15/10/05,Ath Madrid,Real Madrid,3.0,3.25,2.1,3.25,3.25,2.05,3.3,3.1,2.1,3.0,3.2,2.1,3.0,3.1,2.15,A,A
62,15/10/05,La Coruna,Barcelona,3.0,3.25,2.1,3.75,3.25,1.9,3.3,3.1,2.1,3.25,3.25,2.0,3.1,3.1,2.1,A,D
63,16/10/05,Ath Bilbao,Sevilla,2.2,3.25,2.8,2.1,3.1,3.3,2.1,3.0,3.1,2.1,3.2,3.0,2.05,3.1,3.2,A,A
64,16/10/05,Betis,Getafe,1.8,3.25,4.0,1.9,3.25,3.7,2.0,3.1,3.5,1.9,3.25,3.4,1.9,3.1,3.6,H,H
65,16/10/05,Espanol,Cadiz,1.72,3.25,4.33,1.8,3.2,4.25,1.8,3.1,3.8,1.8,3.25,3.75,1.8,3.1,4.0,D,A
66,16/10/05,Mallorca,Santander,2.2,3.25,2.8,2.25,3.0,3.1,2.1,3.0,3.1,2.2,3.2,2.8,2.1,3.1,3.1,D,D
67,16/10/05,Osasuna,Celta,2.1,3.25,3.0,2.1,3.05,3.35,2.1,3.0,3.1,2.2,3.2,2.8,2.1,3.1,3.1,D,H
68,16/10/05,Valencia,Malaga,1.57,3.6,5.0,1.55,3.8,5.15,1.55,3.5,4.8,1.5,3.4,6.0,1.53,3.5,5.5,H,H
69,16/10/05,Zaragoza,Sociedad,1.72,3.25,4.33,1.8,3.3,4.1,1.8,3.1,3.8,1.8,3.2,4.0,1.83,3.0,4.0,A,A
70,22/10/05,Barcelona,Osasuna,1.36,4.33,9.0,1.25,5.0,10.0,1.3,4.2,8.0,1.3,4.35,8.0,1.3,4.33,8.0,D,H
71,22/10/05,Sevilla,Alaves,1.72,3.4,5.0,1.6,3.3,5.75,1.7,3.2,4.2,1.65,3.25,5.0,1.61,3.3,5.0,H,H
72,23/10/05,Cadiz,Ath Bilbao,2.25,3.2,3.1,2.3,3.0,3.0,2.2,3.0,2.9,2.2,3.0,3.1,2.25,3.0,2.87,H,H
73,23/10/05,Celta,Espanol,2.0,3.3,3.6,1.95,3.25,3.55,1.9,3.1,3.5,1.8,3.2,4.0,2.0,3.1,3.3,D,H
74,23/10/05,Getafe,Zaragoza,2.2,3.2,3.25,2.05,3.1,3.4,2.1,3.0,3.3,2.0,3.25,3.25,2.15,3.0,3.1,H,H
75,23/10/05,Malaga,Betis,2.4,3.25,2.8,2.45,3.15,2.65,2.4,3.0,2.6,2.4,3.1,2.6,2.37,3.0,2.7,H,H
76,23/10/05,Real Madrid,Valencia,1.66,3.4,5.5,1.6,3.4,5.5,1.6,3.5,5.0,1.55,3.5,5.0,1.61,3.3,5.0,A,A
77,23/10/05,Santander,Ath Madrid,2.6,3.2,2.62,2.5,3.15,2.6,2.6,3.0,2.6,2.5,3.0,2.6,2.4,3.1,2.6,A,A
78,23/10/05,Sociedad,La Coruna,2.4,3.25,2.8,2.5,3.0,2.7,2.4,3.1,2.7,2.4,3.1,2.6,2.3,3.0,2.8,D,H
79,23/10/05,Villarreal,Mallorca,1.57,3.6,6.0,1.5,3.5,6.6,1.6,3.4,4.6,1.55,3.5,5.0,1.53,3.5,5.5,H,H
80,26/10/05,Barcelona,Malaga,1.25,5.0,13.0,1.2,5.55,11.0,1.27,4.3,8.5,1.22,5.0,9.5,1.22,5.0,9.5,D,H
81,26/10/05,Betis,Villarreal,2.25,3.2,3.1,1.95,3.3,3.5,2.2,3.0,2.9,2.2,3.2,2.8,2.25,3.1,2.8,D,A
82,26/10/05,La Coruna,Real Madrid,2.87,3.25,2.37,2.9,3.25,2.25,2.7,3.0,2.5,2.8,3.2,2.2,2.75,3.1,2.3,H,H
83,26/10/05,Mallorca,Celta,2.5,3.2,2.75,2.65,3.1,2.5,2.4,3.0,2.6,2.3,3.25,2.6,2.37,3.1,2.62,D,H
84,26/10/05,Osasuna,Ath Bilbao,1.9,3.25,4.0,1.75,3.4,4.2,1.85,3.1,3.6,1.9,3.25,3.5,1.83,3.2,3.75,D,H
85,27/10/05,Alaves,Espanol,2.3,3.25,3.0,2.35,3.05,2.85,2.2,3.0,2.9,2.2,3.2,2.8,2.25,3.1,2.8,D,D
86,27/10/05,Ath Madrid,Cadiz,1.72,3.4,5.0,1.65,3.45,4.8,1.75,3.2,4.0,1.65,3.4,4.5,1.66,3.3,4.5,H,H
87,27/10/05,Sociedad,Getafe,2.1,3.25,3.4,2.1,3.2,3.2,2.1,3.0,3.1,2.0,3.0,3.4,1.95,3.1,3.5,H,H
88,27/10/05,Valencia,Sevilla,1.66,3.4,5.5,1.7,3.35,4.6,1.65,3.3,4.4,1.65,3.25,5.0,1.72,3.1,4.5,A,A
89,27/10/05,Zaragoza,Santander,1.83,3.3,4.33,1.85,3.3,3.85,1.85,3.1,3.6,1.9,3.25,3.5,1.83,3.0,4.0,H,D
90,29/10/05,Ath Bilbao,Celta,2.25,3.25,2.75,2.2,3.1,3.05,2.3,3.0,2.7,2.25,3.1,2.8,2.15,3.1,3.0,H,D
91,29/10/05,Betis,Real Madrid,2.8,3.25,2.2,3.3,3.1,2.1,2.7,3.1,2.4,3.25,3.25,2.0,3.0,3.1,2.15,A,A
92,30/10/05,Alaves,Cadiz,2.2,3.25,2.8,2.15,3.15,3.15,2.2,3.0,2.9,2.35,3.2,2.6,2.2,3.1,2.87,D,D
93,30/10/05,Ath Madrid,Villarreal,2.2,3.25,2.8,2.1,3.1,3.3,2.2,3.0,2.9,2.3,2.9,2.9,2.15,3.1,3.0,H,D
94,30/10/05,Barcelona,Sociedad,1.33,4.33,7.5,1.2,5.55,11.0,1.3,4.2,8.0,1.22,5.0,9.0,1.33,4.0,8.0,H,H
95,30/10/05,La Coruna,Getafe,1.8,3.25,4.0,1.9,3.2,3.8,1.8,3.1,3.8,1.85,3.2,3.75,1.72,3.2,4.33,H,H
96,30/10/05,Mallorca,Sevilla,2.5,3.2,2.5,3.0,3.2,2.2,2.5,3.0,2.5,2.6,3.2,2.4,2.6,3.1,2.4,D,D
97,30/10/05,Osasuna,Espanol,1.83,3.25,3.75,1.8,3.4,4.0,1.85,3.1,3.6,1.75,3.2,4.35,1.72,3.2,4.33,H,H
98,30/10/05,Valencia,Santander,1.4,4.0,6.5,1.5,3.6,6.25,1.45,3.8,5.4,1.4,3.75,7.0,1.44,3.6,6.5,D,D
99,30/10/05,Zaragoza,Malaga,2.0,3.25,3.25,1.85,3.35,3.8,1.9,3.1,3.5,2.0,3.2,3.25,2.0,3.1,3.3,D,D
100,05/11/05,Espanol,Ath Bilbao,2.1,3.25,3.4,1.95,3.2,3.6,2.2,3.1,2.8,2.0,3.2,3.2,2.1,3.1,3.1,A,D
101,05/11/05,Sociedad,Osasuna,2.1,3.25,3.0,1.95,3.2,3.6,2.1,3.1,3.3,2.0,3.2,3.2,2.0,3.1,3.3,D,A
102,05/11/05,Villarreal,Valencia,2.37,3.2,2.87,2.3,3.15,2.85,2.3,3.0,3.0,2.3,3.1,2.7,2.3,3.1,2.75,H,H
103,06/11/05,Cadiz,Mallorca,2.0,3.25,3.25,1.8,3.35,4.0,2.0,3.1,3.2,2.0,3.2,3.2,2.0,3.1,3.3,D,A
104,06/11/05,Celta,Alaves,1.72,3.25,4.33,1.65,3.5,4.7,1.75,3.2,4.0,1.65,3.25,4.5,1.7,3.2,4.5,H,H
105,06/11/05,Getafe,Barcelona,4.5,3.6,1.72,4.3,3.35,1.75,4.3,3.2,1.75,4.0,3.4,1.75,4.2,3.25,1.72,A,A
106,06/11/05,Malaga,La Coruna,2.4,3.2,2.6,2.4,3.1,2.75,2.6,3.0,2.6,2.5,3.2,2.4,2.5,3.1,2.5,D,D
107,06/11/05,Real Madrid,Zaragoza,1.36,4.33,9.0,1.33,4.2,9.0,1.35,4.2,7.5,1.35,4.0,7.0,1.36,3.75,8.0,D,H
108,06/11/05,Santander,Betis,2.3,3.25,2.75,2.2,3.2,3.0,2.4,3.0,2.6,2.25,3.2,2.7,2.2,3.2,2.8,A,D
109,06/11/05,Sevilla,Ath Madrid,2.0,3.25,3.4,2.1,3.2,3.2,2.2,3.0,3.1,2.0,3.2,3.2,2.1,3.1,3.1,D,D
110,19/11/05,Getafe,Osasuna,2.25,3.0,3.0,2.1,3.1,3.3,2.2,3.1,2.8,2.25,3.2,2.75,2.25,3.1,2.8,D,D
111,19/11/05,Real Madrid,Barcelona,2.37,3.2,2.62,2.25,3.25,2.85,2.3,3.1,2.9,2.35,3.1,2.65,2.37,3.0,2.7,A,A
112,19/11/05,Sevilla,Betis,2.0,3.0,3.5,1.85,3.25,3.9,2.0,3.1,3.5,2.0,2.9,3.6,2.0,2.87,3.6,D,H
113,19/11/05,Villarreal,Zaragoza,1.72,3.25,4.33,1.75,3.35,4.3,1.75,3.2,4.0,1.75,3.25,4.35,1.8,3.0,4.2,D,D
114,20/11/05,Ath Bilbao,Alaves,1.83,3.25,3.75,1.8,3.3,4.1,1.85,3.1,3.6,1.73,3.25,4.35,1.8,3.1,4.0,A,A
115,20/11/05,Cadiz,Valencia,2.8,3.2,2.25,2.9,3.2,2.25,2.7,3.0,2.5,2.8,3.2,2.2,3.0,3.0,2.2,D,A
116,20/11/05,Celta,Ath Madrid,2.25,3.25,2.75,2.2,3.2,3.0,2.2,3.0,3.1,2.1,3.1,3.1,2.3,3.0,2.8,H,H
117,20/11/05,Espanol,Mallorca,2.0,3.25,3.25,2.0,3.25,3.4,2.2,3.0,2.9,2.0,3.25,3.25,2.1,3.1,3.1,H,H
118,20/11/05,Malaga,Sociedad,2.2,3.2,2.87,2.25,3.1,3.0,2.2,3.0,2.9,2.1,3.2,3.0,2.1,3.1,3.1,D,H
119,20/11/05,Santander,La Coruna,2.6,3.2,2.4,2.5,3.1,2.65,2.7,3.0,2.5,2.6,3.1,2.4,2.7,3.0,2.37,A,A
120,26/11/05,Mallorca,Ath Bilbao,2.2,3.25,3.2,2.15,3.25,3.0,2.2,3.1,2.8,1.9,3.25,3.4,2.1,3.0,3.2,D,A
121,26/11/05,Valencia,Celta,1.72,3.4,5.0,1.65,3.5,4.75,1.7,3.2,4.2,1.8,3.25,3.75,1.8,3.0,4.2,D,H
122,27/11/05,Ath Madrid,Espanol,1.72,3.4,5.0,1.7,3.4,4.5,1.75,3.2,4.3,1.75,3.2,4.35,1.8,3.0,4.2,D,D
123,27/11/05,Barcelona,Santander,1.16,6.5,15.0,1.12,7.25,14.0,1.15,6.0,12.0,1.15,5.5,12.0,1.16,5.5,12.0,H,H
124,27/11/05,Betis,Cadiz,1.8,3.3,4.5,1.75,3.4,4.25,1.8,3.1,3.8,1.75,3.2,4.35,1.8,3.0,4.2,H,D
125,27/11/05,Getafe,Malaga,2.0,3.2,3.75,1.95,3.3,3.5,2.0,3.1,3.2,2.0,3.2,3.2,2.15,3.0,3.1,H,H
126,27/11/05,La Coruna,Villarreal,2.1,3.2,3.5,2.1,3.15,3.25,2.1,3.1,3.3,2.1,3.0,3.2,2.1,3.0,3.2,D,A
127,27/11/05,Osasuna,Alaves,1.61,3.6,5.5,1.5,3.65,6.25,1.65,3.3,4.4,1.6,3.25,5.0,1.7,3.2,4.5,D,H
128,27/11/05,Sociedad,Real Madrid,3.4,3.25,2.1,3.65,3.3,1.9,3.0,3.1,2.2,3.2,3.2,2.0,3.2,3.1,2.05,H,D
129,27/11/05,Zaragoza,Sevilla,2.37,3.2,2.9,2.35,3.05,2.85,2.4,3.0,2.8,2.3,3.1,2.7,2.4,2.9,2.75,D,A
130,03/12/05,Ath Bilbao,Ath Madrid,2.3,3.2,2.7,2.35,3.15,2.75,2.3,3.1,2.9,2.25,3.1,2.8,2.15,3.0,3.1,A,D
131,03/12/05,Celta,Betis,1.8,3.25,4.0,1.7,3.45,4.5,1.8,3.1,3.8,1.8,3.2,4.0,1.83,3.2,3.75,H,H
132,03/12/05,Real Madrid,Getafe,1.4,3.75,7.5,1.3,4.5,9.0,1.35,4.2,7.5,1.35,4.0,8.5,1.36,3.75,8.0,H,H
133,04/12/05,Alaves,Mallorca,2.1,3.25,3.0,2.35,3.05,2.85,2.2,3.0,2.9,2.2,3.0,3.0,2.15,3.0,3.1,A,A
134,04/12/05,Cadiz,Zaragoza,2.3,3.1,2.87,2.15,3.05,3.25,2.3,2.9,2.8,2.2,3.1,2.9,2.2,3.0,3.0,H,A
135,04/12/05,Espanol,Valencia,2.62,3.2,2.37,2.65,3.15,2.45,2.7,3.0,2.5,2.8,3.1,2.25,2.8,3.0,2.3,A,A
136,04/12/05,Malaga,Osasuna,2.4,3.2,2.6,2.4,3.1,2.75,2.3,3.0,2.7,2.3,3.25,2.65,2.37,3.0,2.7,A,A
137,04/12/05,Santander,Sociedad,2.37,3.2,2.62,2.2,3.0,3.2,2.4,3.0,2.6,2.3,3.1,2.75,2.37,3.0,2.7,A,D
138,04/12/05,Sevilla,La Coruna,2.0,3.25,3.25,2.05,3.1,3.4,2.1,3.0,3.4,2.1,3.0,3.2,2.0,3.0,3.4,A,A
139,04/12/05,Villarreal,Barcelona,3.75,3.25,1.83,3.8,3.35,1.85,3.7,3.1,1.9,4.0,3.4,1.75,3.4,3.25,1.9,A,A
140,10/12/05,Sociedad,Villarreal,2.6,3.2,2.62,2.4,3.15,2.7,2.5,3.0,2.5,2.5,3.1,2.5,2.37,3.1,2.62,D,A
141,10/12/05,Valencia,Ath Bilbao,1.5,3.75,7.0,1.45,3.75,6.75,1.55,3.5,4.8,1.45,3.6,6.5,1.53,3.5,5.5,D,D
142,11/12/05,Ath Madrid,Alaves,1.57,3.5,6.5,1.6,3.45,5.35,1.65,3.3,4.4,1.6,3.25,5.0,1.66,3.1,5.0,D,D
143,11/12/05,Barcelona,Sevilla,1.3,5.0,9.5,1.25,5.0,10.0,1.35,4.0,7.0,1.3,4.35,8.0,1.36,3.75,8.0,D,H
144,11/12/05,Betis,Espanol,2.1,3.2,3.5,2.05,3.2,3.3,2.1,3.0,3.1,2.1,3.0,3.25,2.1,3.0,3.2,D,D
145,11/12/05,Getafe,Santander,1.8,3.3,4.5,1.7,3.35,4.65,1.8,3.1,3.8,1.73,3.25,4.35,1.8,3.1,4.0,D,A
146,11/12/05,La Coruna,Cadiz,1.57,3.5,6.5,1.55,3.6,5.45,1.55,3.5,4.8,1.55,3.4,5.5,1.61,3.1,5.5,D,H
147,11/12/05,Malaga,Real Madrid,4.5,3.25,1.83,4.0,3.35,1.8,3.6,3.1,1.85,3.5,3.4,1.84,3.5,3.2,1.9,A,A
148,11/12/05,Osasuna,Mallorca,1.57,3.6,6.0,1.55,3.5,5.75,1.65,3.3,4.4,1.55,3.25,5.5,1.6,3.4,4.8,H,H
149,11/12/05,Zaragoza,Celta,2.37,3.25,2.87,2.4,3.1,2.75,2.4,3.0,2.6,2.25,3.1,2.8,2.37,3.0,2.7,D,H
150,17/12/05,Ath Bilbao,Betis,2.2,3.0,3.5,2.1,3.15,3.25,2.0,3.1,3.2,2.1,3.1,3.25,2.1,3.0,3.2,H,H
151,17/12/05,Cadiz,Barcelona,9.0,4.33,1.36,9.0,4.75,1.28,6.0,3.9,1.4,7.5,4.0,1.35,8.0,3.75,1.36,A,A
152,17/12/05,Celta,La Coruna,2.37,3.0,3.1,2.2,3.15,3.05,2.3,3.0,2.7,2.25,3.1,2.8,2.3,3.0,2.8,A,A
153,18/12/05,Alaves,Valencia,4.2,3.2,1.9,4.0,3.35,1.8,3.3,3.0,2.0,4.0,3.2,1.8,3.75,3.0,1.9,A,A
154,18/12/05,Espanol,Zaragoza,2.2,3.2,3.25,2.05,3.1,3.4,2.2,2.9,3.0,2.2,3.0,3.0,2.3,2.9,2.9,D,D
155,18/12/05,Mallorca,Ath Madrid,2.5,3.1,2.8,2.5,3.1,2.65,2.4,3.0,2.6,2.3,3.1,2.7,2.4,3.1,2.6,A,D
156,18/12/05,Real Madrid,Osasuna,1.5,3.75,7.0,1.5,3.85,5.65,1.55,3.5,4.8,1.5,3.6,5.5,1.53,3.5,5.5,D,D
157,18/12/05,Santander,Malaga,2.25,3.1,3.2,2.2,3.1,3.1,2.1,3.0,3.1,2.2,3.1,2.9,2.2,3.0,3.0,D,D
158,18/12/05,Sevilla,Sociedad,1.72,3.4,5.0,1.7,3.4,4.5,1.75,3.2,4.0,1.65,3.25,4.5,1.8,3.1,4.0,A,H
159,18/12/05,Villarreal,Getafe,1.57,3.5,6.5,1.6,3.4,5.45,1.55,3.5,4.8,1.45,3.5,6.5,1.57,3.3,5.5,D,H
160,20/12/05,Barcelona,Celta,1.22,5.5,13.0,1.2,5.35,12.0,1.25,4.5,9.0,1.18,5.5,11.0,1.25,4.5,10.0,H,H
161,21/12/05,Betis,Alaves,1.83,3.3,4.33,1.8,3.25,4.15,1.8,3.1,3.8,1.8,3.2,4.0,1.8,3.25,3.8,H,H
162,21/12/05,Getafe,Sevilla,2.5,3.25,2.7,2.3,3.1,2.9,2.5,3.0,2.5,2.3,3.2,2.65,2.4,3.25,2.5,H,H
163,21/12/05,La Coruna,Espanol,1.57,3.6,6.0,1.55,3.5,5.75,1.6,3.3,4.8,1.55,3.25,5.5,1.57,3.3,5.5,D,A
164,21/12/05,Malaga,Villarreal,3.1,3.2,2.25,3.0,3.1,2.25,2.7,3.0,2.3,2.8,3.2,2.2,2.75,3.2,2.25,D,D
165,21/12/05,Real Madrid,Santander,1.25,5.0,13.0,1.25,5.0,10.0,1.25,4.5,9.0,1.25,4.5,10.0,1.28,4.5,8.0,A,A
