,Date,HomeTeam,HomeValue,AwayTeam,AwayValue,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,VCH,VCD,VCA,WHH,WHD,WHA,HTR,FTR
26,2005-09-18,Cadiz,1650000.0,Villarreal,70000000.0,3.0,3.2,2.3,3.5,3.15,2.0,2.6,3.0,2.4,2.8,3.2,2.2,2.75,3.1,2.3,D,D
27,2005-09-18,Celta,36350000.0,Santander,22850000.0,1.8,3.4,4.5,1.8,3.25,4.15,1.85,3.1,3.6,1.7,3.25,4.5,1.72,3.2,4.33,D,A
28,2005-09-18,Espanol,55500000.0,Real Madrid,283750000.0,4.0,3.3,1.9,4.15,3.2,1.8,3.5,3.1,1.9,3.6,3.4,1.84,3.75,3.3,1.8,D,H
29,2005-09-18,Osasuna,24000000.0,Sevilla,73250000.0,2.5,3.2,2.75,2.7,3.0,2.5,2.4,3.0,2.6,2.4,3.25,2.5,2.37,3.1,2.62,D,H
30,2005-09-21,Barcelona,275230000.0,Valencia,21090000.0,1.57,3.6,6.0,1.5,3.6,6.25,1.55,3.5,4.8,1.5,3.5,6.0,1.61,3.3,5.0,H,D
31,2005-09-21,Getafe,15950000.0,Mallorca,39900000.0,1.9,3.25,4.0,1.8,3.4,3.95,1.9,3.1,3.5,1.85,3.25,3.75,1.9,3.25,3.4,H,D
32,2005-09-21,La Coruna,118700000.0,Betis,78100000.0,2.0,3.3,3.5,2.0,3.15,3.5,2.0,3.1,3.2,2.0,3.1,3.4,1.95,3.1,3.5,D,D
33,2005-09-21,Malaga,21100000.0,Alaves,20950000.0,1.83,3.3,4.33,2.0,3.15,3.5,1.9,3.1,3.5,1.85,3.25,3.75,1.72,3.3,4.2,D,D
34,2005-09-21,Santander,22850000.0,Espanol,55500000.0,2.3,3.25,2.87,2.4,3.05,2.8,2.4,3.0,2.6,2.4,3.1,2.6,2.3,3.2,2.62,D,H
35,2005-09-21,Sevilla,73250000.0,Cadiz,1650000.0,1.57,3.6,6.0,1.55,3.5,5.75,1.6,3.4,4.6,1.55,3.3,5.5,1.5,3.4,6.0,D,D
36,2005-09-21,Sociedad,46250000.0,Ath Madrid,113700000.0,2.37,3.2,2.8,2.7,3.0,2.5,2.5,3.0,2.5,2.4,3.2,2.65,2.25,3.2,2.75,A,H
37,2005-09-21,Villarreal,70000000.0,Celta,36350000.0,1.66,3.6,5.0,1.7,3.3,4.75,1.75,3.2,4.0,1.65,3.25,5.0,1.66,3.3,4.5,A,A
38,2005-09-21,Zaragoza,52750000.0,Osasuna,24000000.0,1.8,3.25,4.33,1.8,3.2,4.25,1.9,3.1,3.5,1.85,3.2,3.75,1.72,3.25,4.2,D,H
39,2005-09-22,Real Madrid,283750000.0,Ath Bilbao,38700000.0,1.44,4.0,7.5,1.4,4.0,7.5,1.5,3.7,5.0,1.4,3.75,7.0,1.4,3.75,7.0,A,H
40,2005-09-24,Ath Madrid,113700000.0,Getafe,15950000.0,1.66,3.4,5.5,1.65,3.35,5.0,1.75,3.2,4.0,1.7,3.25,4.5,1.61,3.3,5.0,D,A
41,2005-09-24,Betis,78100000.0,Barcelona,275230000.0,3.4,3.25,2.1,3.65,3.15,1.95,3.1,3.0,2.1,3.25,3.2,2.0,3.0,3.2,2.1,D,A
42,2005-09-24,Espanol,55500000.0,Villarreal,70000000.0,2.3,3.2,3.0,2.4,3.0,2.85,2.3,3.0,2.7,2.1,3.2,3.0,2.25,3.2,2.75,A,A
43,2005-09-24,Valencia,21090000.0,Sociedad,46250000.0,1.5,3.75,7.0,1.55,3.5,5.85,1.55,3.5,4.8,1.5,3.5,6.5,1.44,3.5,7.0,H,H
44,2005-09-24,Zaragoza,52750000.0,La Coruna,118700000.0,2.4,3.25,2.8,2.35,3.05,2.9,2.4,3.0,2.6,2.4,3.2,2.6,2.3,3.2,2.62,D,D
45,2005-09-25,Alaves,20950000.0,Real Madrid,283750000.0,6.0,3.4,1.61,6.0,3.45,1.55,4.4,3.3,1.65,4.5,3.4,1.65,5.0,3.3,1.61,D,A
46,2005-09-25,Ath Bilbao,38700000.0,Santander,22850000.0,1.72,3.3,5.0,1.65,3.35,5.0,1.75,3.2,4.0,1.75,3.4,4.0,1.7,3.3,4.33,D,D
47,2005-09-25,Celta,36350000.0,Sevilla,73250000.0,2.2,3.2,3.25,2.4,3.0,2.85,2.2,3.0,2.9,2.1,3.2,3.0,2.25,3.1,2.8,H,H
48,2005-09-25,Mallorca,39900000.0,Malaga,21100000.0,2.1,3.25,3.4,2.2,3.2,3.0,2.0,3.1,3.2,2.1,3.2,3.0,2.0,3.2,3.2,A,A
49,2005-09-25,Osasuna,24000000.0,Cadiz,1650000.0,1.9,3.25,4.0,1.8,3.25,4.15,1.8,3.1,3.8,1.85,3.2,3.75,1.8,3.25,3.8,H,H
50,2005-01-10,Barcelona,275230000.0,Zaragoza,52750000.0,1.33,4.5,9.5,1.25,5.0,9.75,1.3,4.2,8.0,1.3,4.35,8.5,1.33,4.0,8.0,D,D
51,2005-01-10,Getafe,15950000.0,Valencia,21090000.0,2.6,3.2,2.62,2.6,3.0,2.6,2.7,3.0,2.5,2.6,3.2,2.4,2.62,3.1,2.37,D,H
52,2005-02-10,Cadiz,1650000.0,Celta,36350000.0,2.5,3.2,2.75,2.5,3.15,2.6,2.5,3.0,2.5,2.5,3.1,2.5,2.4,3.1,2.6,D,D
53,2005-02-10,La Coruna,118700000.0,Osasuna,24000000.0,1.66,3.4,5.5,1.6,3.6,5.0,1.6,3.4,4.6,1.55,3.5,5.0,1.66,3.3,4.5,A,A
54,2005-02-10,Malaga,21100000.0,Ath Madrid,113700000.0,2.4,3.25,2.8,2.5,3.0,2.7,2.5,3.0,2.7,2.1,3.2,3.0,2.25,3.2,2.75,A,A
55,2005-02-10,Real Madrid,283750000.0,Mallorca,39900000.0,1.25,5.0,13.0,1.2,5.5,11.5,1.25,4.5,9.0,1.22,5.0,10.0,1.2,5.0,11.0,H,H
56,2005-02-10,Santander,22850000.0,Alaves,20950000.0,1.9,3.25,4.0,1.95,3.15,3.65,1.85,3.1,3.6,1.84,3.25,3.75,1.83,3.2,3.75,A,A
57,2005-02-10,Sevilla,73250000.0,Espanol,55500000.0,1.9,3.25,4.0,1.9,3.2,3.8,1.9,3.1,3.5,1.8,3.25,4.0,1.8,3.3,3.75,A,D
58,2005-02-10,Sociedad,46250000.0,Betis,78100000.0,2.5,3.2,2.75,2.45,3.0,2.8,2.3,3.0,2.7,2.2,3.2,2.8,2.05,3.2,3.1,A,D
59,2005-02-10,Villarreal,70000000.0,Ath Bilbao,38700000.0,1.83,3.3,4.33,1.8,3.3,4.1,1.75,3.2,4.3,1.8,3.2,4.0,1.8,3.1,4.0,D,H
60,2005-10-15,Alaves,20950000.0,Villarreal,70000000.0,2.62,3.2,2.37,2.85,3.0,2.4,2.8,3.0,2.4,2.6,3.1,2.35,2.62,3.1,2.37,D,D
61,2005-10-15,Ath Madrid,113700000.0,Real Madrid,283750000.0,3.0,3.25,2.1,3.25,3.25,2.05,3.3,3.1,2.1,3.0,3.2,2.1,3.0,3.1,2.15,A,A
62,2005-10-15,La Coruna,118700000.0,Barcelona,275230000.0,3.0,3.25,2.1,3.75,3.25,1.9,3.3,3.1,2.1,3.25,3.25,2.0,3.1,3.1,2.1,A,D
63,2005-10-16,Ath Bilbao,38700000.0,Sevilla,73250000.0,2.2,3.25,2.8,2.1,3.1,3.3,2.1,3.0,3.1,2.1,3.2,3.0,2.05,3.1,3.2,A,A
64,2005-10-16,Betis,78100000.0,Getafe,15950000.0,1.8,3.25,4.0,1.9,3.25,3.7,2.0,3.1,3.5,1.9,3.25,3.4,1.9,3.1,3.6,H,H
65,2005-10-16,Espanol,55500000.0,Cadiz,1650000.0,1.72,3.25,4.33,1.8,3.2,4.25,1.8,3.1,3.8,1.8,3.25,3.75,1.8,3.1,4.0,D,A
66,2005-10-16,Mallorca,39900000.0,Santander,22850000.0,2.2,3.25,2.8,2.25,3.0,3.1,2.1,3.0,3.1,2.2,3.2,2.8,2.1,3.1,3.1,D,D
67,2005-10-16,Osasuna,24000000.0,Celta,36350000.0,2.1,3.25,3.0,2.1,3.05,3.35,2.1,3.0,3.1,2.2,3.2,2.8,2.1,3.1,3.1,D,H
68,2005-10-16,Valencia,21090000.0,Malaga,21100000.0,1.57,3.6,5.0,1.55,3.8,5.15,1.55,3.5,4.8,1.5,3.4,6.0,1.53,3.5,5.5,H,H
69,2005-10-16,Zaragoza,52750000.0,Sociedad,46250000.0,1.72,3.25,4.33,1.8,3.3,4.1,1.8,3.1,3.8,1.8,3.2,4.0,1.83,3.0,4.0,A,A
70,2005-10-22,Barcelona,275230000.0,Osasuna,24000000.0,1.36,4.33,9.0,1.25,5.0,10.0,1.3,4.2,8.0,1.3,4.35,8.0,1.3,4.33,8.0,D,H
71,2005-10-22,Sevilla,73250000.0,Alaves,20950000.0,1.72,3.4,5.0,1.6,3.3,5.75,1.7,3.2,4.2,1.65,3.25,5.0,1.61,3.3,5.0,H,H
72,2005-10-23,Cadiz,1650000.0,Ath Bilbao,38700000.0,2.25,3.2,3.1,2.3,3.0,3.0,2.2,3.0,2.9,2.2,3.0,3.1,2.25,3.0,2.87,H,H
73,2005-10-23,Celta,36350000.0,Espanol,55500000.0,2.0,3.3,3.6,1.95,3.25,3.55,1.9,3.1,3.5,1.8,3.2,4.0,2.0,3.1,3.3,D,H
74,2005-10-23,Getafe,15950000.0,Zaragoza,52750000.0,2.2,3.2,3.25,2.05,3.1,3.4,2.1,3.0,3.3,2.0,3.25,3.25,2.15,3.0,3.1,H,H
75,2005-10-23,Malaga,21100000.0,Betis,78100000.0,2.4,3.25,2.8,2.45,3.15,2.65,2.4,3.0,2.6,2.4,3.1,2.6,2.37,3.0,2.7,H,H
76,2005-10-23,Real Madrid,283750000.0,Valencia,21090000.0,1.66,3.4,5.5,1.6,3.4,5.5,1.6,3.5,5.0,1.55,3.5,5.0,1.61,3.3,5.0,A,A
77,2005-10-23,Santander,22850000.0,Ath Madrid,113700000.0,2.6,3.2,2.62,2.5,3.15,2.6,2.6,3.0,2.6,2.5,3.0,2.6,2.4,3.1,2.6,A,A
78,2005-10-23,Sociedad,46250000.0,La Coruna,118700000.0,2.4,3.25,2.8,2.5,3.0,2.7,2.4,3.1,2.7,2.4,3.1,2.6,2.3,3.0,2.8,D,H
79,2005-10-23,Villarreal,70000000.0,Mallorca,39900000.0,1.57,3.6,6.0,1.5,3.5,6.6,1.6,3.4,4.6,1.55,3.5,5.0,1.53,3.5,5.5,H,H
80,2005-10-26,Barcelona,275230000.0,Malaga,21100000.0,1.25,5.0,13.0,1.2,5.55,11.0,1.27,4.3,8.5,1.22,5.0,9.5,1.22,5.0,9.5,D,H
81,2005-10-26,Betis,78100000.0,Villarreal,70000000.0,2.25,3.2,3.1,1.95,3.3,3.5,2.2,3.0,2.9,2.2,3.2,2.8,2.25,3.1,2.8,D,A
82,2005-10-26,La Coruna,118700000.0,Real Madrid,283750000.0,2.87,3.25,2.37,2.9,3.25,2.25,2.7,3.0,2.5,2.8,3.2,2.2,2.75,3.1,2.3,H,H
83,2005-10-26,Mallorca,39900000.0,Celta,36350000.0,2.5,3.2,2.75,2.65,3.1,2.5,2.4,3.0,2.6,2.3,3.25,2.6,2.37,3.1,2.62,D,H
84,2005-10-26,Osasuna,24000000.0,Ath Bilbao,38700000.0,1.9,3.25,4.0,1.75,3.4,4.2,1.85,3.1,3.6,1.9,3.25,3.5,1.83,3.2,3.75,D,H
85,2005-10-27,Alaves,20950000.0,Espanol,55500000.0,2.3,3.25,3.0,2.35,3.05,2.85,2.2,3.0,2.9,2.2,3.2,2.8,2.25,3.1,2.8,D,D
86,2005-10-27,Ath Madrid,113700000.0,Cadiz,1650000.0,1.72,3.4,5.0,1.65,3.45,4.8,1.75,3.2,4.0,1.65,3.4,4.5,1.66,3.3,4.5,H,H
87,2005-10-27,Sociedad,46250000.0,Getafe,15950000.0,2.1,3.25,3.4,2.1,3.2,3.2,2.1,3.0,3.1,2.0,3.0,3.4,1.95,3.1,3.5,H,H
88,2005-10-27,Valencia,21090000.0,Sevilla,73250000.0,1.66,3.4,5.5,1.7,3.35,4.6,1.65,3.3,4.4,1.65,3.25,5.0,1.72,3.1,4.5,A,A
89,2005-10-27,Zaragoza,52750000.0,Santander,22850000.0,1.83,3.3,4.33,1.85,3.3,3.85,1.85,3.1,3.6,1.9,3.25,3.5,1.83,3.0,4.0,H,D
90,2005-10-29,Ath Bilbao,38700000.0,Celta,36350000.0,2.25,3.25,2.75,2.2,3.1,3.05,2.3,3.0,2.7,2.25,3.1,2.8,2.15,3.1,3.0,H,D
91,2005-10-29,Betis,78100000.0,Real Madrid,283750000.0,2.8,3.25,2.2,3.3,3.1,2.1,2.7,3.1,2.4,3.25,3.25,2.0,3.0,3.1,2.15,A,A
92,2005-10-30,Alaves,20950000.0,Cadiz,1650000.0,2.2,3.25,2.8,2.15,3.15,3.15,2.2,3.0,2.9,2.35,3.2,2.6,2.2,3.1,2.87,D,D
93,2005-10-30,Ath Madrid,113700000.0,Villarreal,70000000.0,2.2,3.25,2.8,2.1,3.1,3.3,2.2,3.0,2.9,2.3,2.9,2.9,2.15,3.1,3.0,H,D
94,2005-10-30,Barcelona,275230000.0,Sociedad,46250000.0,1.33,4.33,7.5,1.2,5.55,11.0,1.3,4.2,8.0,1.22,5.0,9.0,1.33,4.0,8.0,H,H
95,2005-10-30,La Coruna,118700000.0,Getafe,15950000.0,1.8,3.25,4.0,1.9,3.2,3.8,1.8,3.1,3.8,1.85,3.2,3.75,1.72,3.2,4.33,H,H
96,2005-10-30,Mallorca,39900000.0,Sevilla,73250000.0,2.5,3.2,2.5,3.0,3.2,2.2,2.5,3.0,2.5,2.6,3.2,2.4,2.6,3.1,2.4,D,D
97,2005-10-30,Osasuna,24000000.0,Espanol,55500000.0,1.83,3.25,3.75,1.8,3.4,4.0,1.85,3.1,3.6,1.75,3.2,4.35,1.72,3.2,4.33,H,H
98,2005-10-30,Valencia,21090000.0,Santander,22850000.0,1.4,4.0,6.5,1.5,3.6,6.25,1.45,3.8,5.4,1.4,3.75,7.0,1.44,3.6,6.5,D,D
99,2005-10-30,Zaragoza,52750000.0,Malaga,21100000.0,2.0,3.25,3.25,1.85,3.35,3.8,1.9,3.1,3.5,2.0,3.2,3.25,2.0,3.1,3.3,D,D
100,2005-05-11,Espanol,55500000.0,Ath Bilbao,38700000.0,2.1,3.25,3.4,1.95,3.2,3.6,2.2,3.1,2.8,2.0,3.2,3.2,2.1,3.1,3.1,A,D
101,2005-05-11,Sociedad,46250000.0,Osasuna,24000000.0,2.1,3.25,3.0,1.95,3.2,3.6,2.1,3.1,3.3,2.0,3.2,3.2,2.0,3.1,3.3,D,A
102,2005-05-11,Villarreal,70000000.0,Valencia,21090000.0,2.37,3.2,2.87,2.3,3.15,2.85,2.3,3.0,3.0,2.3,3.1,2.7,2.3,3.1,2.75,H,H
103,2005-06-11,Cadiz,1650000.0,Mallorca,39900000.0,2.0,3.25,3.25,1.8,3.35,4.0,2.0,3.1,3.2,2.0,3.2,3.2,2.0,3.1,3.3,D,A
104,2005-06-11,Celta,36350000.0,Alaves,20950000.0,1.72,3.25,4.33,1.65,3.5,4.7,1.75,3.2,4.0,1.65,3.25,4.5,1.7,3.2,4.5,H,H
105,2005-06-11,Getafe,15950000.0,Barcelona,275230000.0,4.5,3.6,1.72,4.3,3.35,1.75,4.3,3.2,1.75,4.0,3.4,1.75,4.2,3.25,1.72,A,A
106,2005-06-11,Malaga,21100000.0,La Coruna,118700000.0,2.4,3.2,2.6,2.4,3.1,2.75,2.6,3.0,2.6,2.5,3.2,2.4,2.5,3.1,2.5,D,D
107,2005-06-11,Real Madrid,283750000.0,Zaragoza,52750000.0,1.36,4.33,9.0,1.33,4.2,9.0,1.35,4.2,7.5,1.35,4.0,7.0,1.36,3.75,8.0,D,H
108,2005-06-11,Santander,22850000.0,Betis,78100000.0,2.3,3.25,2.75,2.2,3.2,3.0,2.4,3.0,2.6,2.25,3.2,2.7,2.2,3.2,2.8,A,D
109,2005-06-11,Sevilla,73250000.0,Ath Madrid,113700000.0,2.0,3.25,3.4,2.1,3.2,3.2,2.2,3.0,3.1,2.0,3.2,3.2,2.1,3.1,3.1,D,D
110,2005-11-19,Getafe,15950000.0,Osasuna,24000000.0,2.25,3.0,3.0,2.1,3.1,3.3,2.2,3.1,2.8,2.25,3.2,2.75,2.25,3.1,2.8,D,D
111,2005-11-19,Real Madrid,283750000.0,Barcelona,275230000.0,2.37,3.2,2.62,2.25,3.25,2.85,2.3,3.1,2.9,2.35,3.1,2.65,2.37,3.0,2.7,A,A
112,2005-11-19,Sevilla,73250000.0,Betis,78100000.0,2.0,3.0,3.5,1.85,3.25,3.9,2.0,3.1,3.5,2.0,2.9,3.6,2.0,2.87,3.6,D,H
113,2005-11-19,Villarreal,70000000.0,Zaragoza,52750000.0,1.72,3.25,4.33,1.75,3.35,4.3,1.75,3.2,4.0,1.75,3.25,4.35,1.8,3.0,4.2,D,D
114,2005-11-20,Ath Bilbao,38700000.0,Alaves,20950000.0,1.83,3.25,3.75,1.8,3.3,4.1,1.85,3.1,3.6,1.73,3.25,4.35,1.8,3.1,4.0,A,A
115,2005-11-20,Cadiz,1650000.0,Valencia,21090000.0,2.8,3.2,2.25,2.9,3.2,2.25,2.7,3.0,2.5,2.8,3.2,2.2,3.0,3.0,2.2,D,A
116,2005-11-20,Celta,36350000.0,Ath Madrid,113700000.0,2.25,3.25,2.75,2.2,3.2,3.0,2.2,3.0,3.1,2.1,3.1,3.1,2.3,3.0,2.8,H,H
117,2005-11-20,Espanol,55500000.0,Mallorca,39900000.0,2.0,3.25,3.25,2.0,3.25,3.4,2.2,3.0,2.9,2.0,3.25,3.25,2.1,3.1,3.1,H,H
118,2005-11-20,Malaga,21100000.0,Sociedad,46250000.0,2.2,3.2,2.87,2.25,3.1,3.0,2.2,3.0,2.9,2.1,3.2,3.0,2.1,3.1,3.1,D,H
119,2005-11-20,Santander,22850000.0,La Coruna,118700000.0,2.6,3.2,2.4,2.5,3.1,2.65,2.7,3.0,2.5,2.6,3.1,2.4,2.7,3.0,2.37,A,A
120,2005-11-26,Mallorca,39900000.0,Ath Bilbao,38700000.0,2.2,3.25,3.2,2.15,3.25,3.0,2.2,3.1,2.8,1.9,3.25,3.4,2.1,3.0,3.2,D,A
121,2005-11-26,Valencia,21090000.0,Celta,36350000.0,1.72,3.4,5.0,1.65,3.5,4.75,1.7,3.2,4.2,1.8,3.25,3.75,1.8,3.0,4.2,D,H
122,2005-11-27,Ath Madrid,113700000.0,Espanol,55500000.0,1.72,3.4,5.0,1.7,3.4,4.5,1.75,3.2,4.3,1.75,3.2,4.35,1.8,3.0,4.2,D,D
123,2005-11-27,Barcelona,275230000.0,Santander,22850000.0,1.16,6.5,15.0,1.12,7.25,14.0,1.15,6.0,12.0,1.15,5.5,12.0,1.16,5.5,12.0,H,H
124,2005-11-27,Betis,78100000.0,Cadiz,1650000.0,1.8,3.3,4.5,1.75,3.4,4.25,1.8,3.1,3.8,1.75,3.2,4.35,1.8,3.0,4.2,H,D
125,2005-11-27,Getafe,15950000.0,Malaga,21100000.0,2.0,3.2,3.75,1.95,3.3,3.5,2.0,3.1,3.2,2.0,3.2,3.2,2.15,3.0,3.1,H,H
126,2005-11-27,La Coruna,118700000.0,Villarreal,70000000.0,2.1,3.2,3.5,2.1,3.15,3.25,2.1,3.1,3.3,2.1,3.0,3.2,2.1,3.0,3.2,D,A
127,2005-11-27,Osasuna,24000000.0,Alaves,20950000.0,1.61,3.6,5.5,1.5,3.65,6.25,1.65,3.3,4.4,1.6,3.25,5.0,1.7,3.2,4.5,D,H
128,2005-11-27,Sociedad,46250000.0,Real Madrid,283750000.0,3.4,3.25,2.1,3.65,3.3,1.9,3.0,3.1,2.2,3.2,3.2,2.0,3.2,3.1,2.05,H,D
129,2005-11-27,Zaragoza,52750000.0,Sevilla,73250000.0,2.37,3.2,2.9,2.35,3.05,2.85,2.4,3.0,2.8,2.3,3.1,2.7,2.4,2.9,2.75,D,A
130,2005-03-12,Ath Bilbao,38700000.0,Ath Madrid,113700000.0,2.3,3.2,2.7,2.35,3.15,2.75,2.3,3.1,2.9,2.25,3.1,2.8,2.15,3.0,3.1,A,D
131,2005-03-12,Celta,36350000.0,Betis,78100000.0,1.8,3.25,4.0,1.7,3.45,4.5,1.8,3.1,3.8,1.8,3.2,4.0,1.83,3.2,3.75,H,H
132,2005-03-12,Real Madrid,283750000.0,Getafe,15950000.0,1.4,3.75,7.5,1.3,4.5,9.0,1.35,4.2,7.5,1.35,4.0,8.5,1.36,3.75,8.0,H,H
133,2005-04-12,Alaves,20950000.0,Mallorca,39900000.0,2.1,3.25,3.0,2.35,3.05,2.85,2.2,3.0,2.9,2.2,3.0,3.0,2.15,3.0,3.1,A,A
134,2005-04-12,Cadiz,1650000.0,Zaragoza,52750000.0,2.3,3.1,2.87,2.15,3.05,3.25,2.3,2.9,2.8,2.2,3.1,2.9,2.2,3.0,3.0,H,A
135,2005-04-12,Espanol,55500000.0,Valencia,21090000.0,2.62,3.2,2.37,2.65,3.15,2.45,2.7,3.0,2.5,2.8,3.1,2.25,2.8,3.0,2.3,A,A
136,2005-04-12,Malaga,21100000.0,Osasuna,24000000.0,2.4,3.2,2.6,2.4,3.1,2.75,2.3,3.0,2.7,2.3,3.25,2.65,2.37,3.0,2.7,A,A
137,2005-04-12,Santander,22850000.0,Sociedad,46250000.0,2.37,3.2,2.62,2.2,3.0,3.2,2.4,3.0,2.6,2.3,3.1,2.75,2.37,3.0,2.7,A,D
138,2005-04-12,Sevilla,73250000.0,La Coruna,118700000.0,2.0,3.25,3.25,2.05,3.1,3.4,2.1,3.0,3.4,2.1,3.0,3.2,2.0,3.0,3.4,A,A
139,2005-04-12,Villarreal,70000000.0,Barcelona,275230000.0,3.75,3.25,1.83,3.8,3.35,1.85,3.7,3.1,1.9,4.0,3.4,1.75,3.4,3.25,1.9,A,A
140,2005-10-12,Sociedad,46250000.0,Villarreal,70000000.0,2.6,3.2,2.62,2.4,3.15,2.7,2.5,3.0,2.5,2.5,3.1,2.5,2.37,3.1,2.62,D,A
141,2005-10-12,Valencia,21090000.0,Ath Bilbao,38700000.0,1.5,3.75,7.0,1.45,3.75,6.75,1.55,3.5,4.8,1.45,3.6,6.5,1.53,3.5,5.5,D,D
142,2005-11-12,Ath Madrid,113700000.0,Alaves,20950000.0,1.57,3.5,6.5,1.6,3.45,5.35,1.65,3.3,4.4,1.6,3.25,5.0,1.66,3.1,5.0,D,D
